Reference Station,Station,Distance,Route
Central,Central,0,Central to Glenfield via Regents Park
Central,Redfern,1.31,Central to Glenfield via Regents Park
Central,Macdonaldtown,2.5,Central to Glenfield via Regents Park
Central,Newtown,3.12,Central to Glenfield via Regents Park
Central,Stanmore,4.67,Central to Glenfield via Regents Park
Central,Petersham,5.49,Central to Glenfield via Regents Park
Central,Lewisham,6.26,Central to Glenfield via Regents Park
Central,Summer Hill,7.05,Central to Glenfield via Regents Park
Central,Ashfield,8.4,Central to Glenfield via Regents Park
Central,Croydon,9.44,Central to Glenfield via Regents Park
Central,Burwood,10.62,Central to Glenfield via Regents Park
Central,Strathfield,11.73,Central to Glenfield via Regents Park
Central,Homebush,12.74,Central to Glenfield via Regents Park
Central,Flemington,14.32,Central to Glenfield via Regents Park
Central,Lidcombe,16.58,Central to Glenfield via Regents Park
Central,Berala,18.35,Central to Glenfield via Regents Park
Central,Regents Park,19.88,Central to Glenfield via Regents Park
Central,Sefton,21.18,Central to Glenfield via Regents Park
Central,Chester Hill,22.31,Central to Glenfield via Regents Park
Central,Leightonfield,23.66,Central to Glenfield via Regents Park
Central,Villawood,24.48,Central to Glenfield via Regents Park
Central,Carramar,25.9,Central to Glenfield via Regents Park
Central,Cabramatta,28.45,Central to Glenfield via Regents Park
Central,Warwick Farm,30.54,Central to Glenfield via Regents Park
Central,Liverpool,32.09,Central to Glenfield via Regents Park
Central,Casula,35.27,Central to Glenfield via Regents Park
Central,Glenfield,38.32,Central to Glenfield via Regents Park
Central,Glenfield,33.12,Central to Goulburn via East Hills
Central,Macquarie Fields,35.07,Central to Goulburn via East Hills
Central,Ingleburn,36.9,Central to Goulburn via East Hills
Central,Minto,40.95,Central to Goulburn via East Hills
Central,Leumeah,43.82,Central to Goulburn via East Hills
Central,Campbelltown,45.9,Central to Goulburn via East Hills
Central,Macarthur,45.9,Central to Goulburn via East Hills
Central,Menangle Park,54.08,Central to Goulburn via East Hills
Central,Menangle,56.56,Central to Goulburn via East Hills
Central,Douglas Park,64.55,Central to Goulburn via East Hills
Central,Picton,76.47,Central to Goulburn via East Hills
Central,Tahmoor,85.8,Central to Goulburn via East Hills
Central,Bargo,94.8,Central to Goulburn via East Hills
Central,Yerrinbool,107.8,Central to Goulburn via East Hills
Central,Mittagong,123.8,Central to Goulburn via East Hills
Central,Bowral,127.8,Central to Goulburn via East Hills
Central,Burradoo,130.8,Central to Goulburn via East Hills
Central,Moss Vale,137.8,Central to Goulburn via East Hills
Central,Exeter,147.8,Central to Goulburn via East Hills
Central,Bundanoon,153.8,Central to Goulburn via East Hills
Central,Penrose,162.8,Central to Goulburn via East Hills
Central,Wingello,168.8,Central to Goulburn via East Hills
Central,Tallong,176.8,Central to Goulburn via East Hills
Central,Marulan,184.8,Central to Goulburn via East Hills
Central,Goulburn,216.8,Central to Goulburn via East Hills
Kings Cross,Edgecliff,1.42,Kings Cross to Bondi Junction via ESR
Kings Cross,Bondi Junction,3.4,Kings Cross to Bondi Junction via ESR
Wynyard,Wynyard,0,Wynyard to Hornsby via SHB
Wynyard,Milsons Point,2.39,Wynyard to Hornsby via SHB
Wynyard,North Sydney,3.1,Wynyard to Hornsby via SHB
Wynyard,Waverton,4.1,Wynyard to Hornsby via SHB
Wynyard,Wollstonecraft,5.13,Wynyard to Hornsby via SHB
Wynyard,St. Leonards,6.38,Wynyard to Hornsby via SHB
Wynyard,Artarmon,8.29,Wynyard to Hornsby via SHB
Wynyard,Chatswood,9.64,Wynyard to Hornsby via SHB
Wynyard,Roseville,11.27,Wynyard to Hornsby via SHB
Wynyard,Lindfield,12.57,Wynyard to Hornsby via SHB
Wynyard,Killara,13.86,Wynyard to Hornsby via SHB
Wynyard,Gordon,15.09,Wynyard to Hornsby via SHB
Wynyard,Pymble,16.86,Wynyard to Hornsby via SHB
Wynyard,Turramurra,18.79,Wynyard to Hornsby via SHB
Wynyard,Warrawee,19.86,Wynyard to Hornsby via SHB
Wynyard,Wahroonga,20.74,Wynyard to Hornsby via SHB
Wynyard,Waitara,22.17,Wynyard to Hornsby via SHB
Wynyard,Hornsby,23.24,Wynyard to Hornsby via SHB
Wynyard,Chatswood,9.64,Wynyard to Epping via ECRL/NW Metro
Wynyard,North Ryde,16.18,Wynyard to Epping via ECRL/NW Metro
Wynyard,Macquarie Park,17.59,Wynyard to Epping via ECRL/NW Metro
Wynyard,Macquarie University,18.86,Wynyard to Epping via ECRL/NW Metro
Wynyard,Epping,22.78,Wynyard to Epping via ECRL/NW Metro
Central,Central,0,Central to Wolli Creek via Airport Line
Central,Green Square,2.65,Central to Wolli Creek via Airport Line
Central,Mascot,5.15,Central to Wolli Creek via Airport Line
Central,Domestic Terminal,6.7,Central to Wolli Creek via Airport Line
Central,International Terminal,8.2,Central to Wolli Creek via Airport Line
